employee_id,first_name,last_name,gender,position,department_id,contact,salary,hire_date
EMP-589273,Richard,Sanford,M,Supply Chain Coordinator,DEP-020,001-223-300-2113x232,58264.7,2019-02-02
EMP-590563,Kelsey,Nelson,F,Patient Services Coordinator,DEP-001,771-223-1125x00926,42339.52,2011-09-23
EMP-596541,John,Johnson,M,Supply Chain Coordinator,DEP-007,(402)229-4072x33582,56329.84,2010-11-23
EMP-597470,Lauren,Deleon,F,IT Analyst,,935.562.8228,76398.52,2021-05-02
EMP-603025,Laura,Clay,F,Supply Chain Coordinator,DEP-004,914-192-4313x2721,49072.07,2009-09-14
EMP-605454,Reginald,Myers,M,HR Coordinator,DEP-010,+1-092-426-2857x340,48861.03,2023-01-23
EMP-607033,Matthew,Morris,M,Billing Specialist,,310.261.2247x217,44447.69,2008-05-17
EMP-607643,Ian,Maldonado,M,Health Information Manager,DEP-019,779.946.4454x9809,77695.35,2011-07-14
EMP-609190,Rachel,Mcbride,F,Quality Assurance Analyst,DEP-008,(266)121-4659,68958.59,2017-11-18
EMP-616217,Jeremy,York,M,Medical Coder,,001-866-660-5051x840,48037.48,2023-07-06
EMP-619533,Kristen,Miller,F,Compliance Officer,DEP-011,(920)978-6203x503,71814.78,2024-01-04
EMP-620479,Christine,Miller,F,Medical Coder,,(805)153-1493x529,51479.31,2005-08-21
EMP-623392,Leah,Williams,F,Compliance Officer,,988-930-0032x028,107687.68,2018-09-04
EMP-626033,Veronica,Wilson,F,Supply Chain Coordinator,DEP-004,265-571-0855x100,63049.86,2013-03-22
EMP-626571,Richard,Braun,M,Patient Services Coordinator,DEP-005,+1-932-790-4965x1078,37775.36,2007-08-29
EMP-627481,Julie,Miller,F,Billing Specialist,,(200)312-0946x300,46708.01,2012-08-13
EMP-632233,Kimberly,Smith,F,Medical Receptionist,DEP-007,+1-033-133-4029x4337,42460.67,2022-02-10
EMP-633961,Rhonda,Ruiz,F,Supply Chain Coordinator,DEP-013,713-241-7552x764,46052.53,2007-06-03
EMP-636452,Jodi,Blair,F,Health Information Manager,DEP-003,001-520-971-3206x814,71586.95,2024-01-13
EMP-637808,Kelsey,Washington,F,Health Information Manager,DEP-010,007-944-8611x554,96223.24,2021-10-10
EMP-638060,Stacie,Mason,F,Quality Assurance Analyst,DEP-017,0147243004,72315.01,2024-10-26
EMP-639928,Bianca,Winters,F,Health Information Manager,DEP-010,464-250-7441x80946,67268.45,2005-09-11
EMP-640663,Victoria,Jackson,F,Medical Receptionist,DEP-009,001-364-146-2938,38139.76,2026-03-12
EMP-641128,Nancy,Jackson,F,Medical Coder,DEP-005,(012)155-7253x2728,57748.41,2023-12-20
EMP-643307,Julie,Bennett,F,Hospital Administrator,DEP-004,+1-330-877-4723x4985,112480.09,2010-08-16
EMP-647181,Brandon,Mckay,M,IT Analyst,DEP-006,+1-639-610-9929,63934.95,2023-02-06
EMP-649267,Charles,Miller,M,Facilities Manager,DEP-004,125.632.8895x322,60640.43,2026-03-19
EMP-651488,Maria,Glass,F,Billing Specialist,,001-805-859-3602x180,45967.93,2023-06-12
EMP-653732,Tina,Hughes,F,Quality Assurance Analyst,DEP-015,+1-217-213-3748x656,73930.09,2012-06-03
EMP-654558,Shirley,Figueroa,F,Patient Services Coordinator,DEP-014,981-926-3935x6250,50176.18,2012-09-30
EMP-656753,Thomas,Simmons,M,Hospital Administrator,DEP-005,218-062-4611,99987.46,2025-12-21
EMP-657812,Brittany,Maddox,F,Medical Coder,DEP-011,+1-094-014-8546x7224,56301.39,2019-05-06
EMP-660086,Deborah,Williams,NB,Quality Assurance Analyst,DEP-014,001-166-014-7898,75072.05,2005-07-30
EMP-660416,Dustin,Harrison,M,Quality Assurance Analyst,,001-371-942-8993x095,57843.68,2014-01-22
EMP-660521,Daniel,Martinez,M,Hospital Administrator,DEP-003,282-068-8175x0252,156099.04,2017-09-05
EMP-663342,Amanda,Spencer,F,Hospital Administrator,DEP-009,835-527-5851,101537.88,2019-09-22
EMP-665837,Jessica,Allen,NB,Hospital Administrator,DEP-018,001-955-767-3501x882,106011.73,2018-11-15
EMP-666636,Melissa,Lamb,F,Compliance Officer,DEP-007,+1-984-688-9637x7786,90595.85,2018-10-14
EMP-668706,Mark,Ward,M,Facilities Manager,DEP-007,335.052.1089x716,78506.27,2017-06-11
EMP-671919,James,Lee,M,Compliance Officer,DEP-014,(651)842-7879,71941.74,2011-04-27
EMP-671967,Jeffrey,Schmidt,M,Hospital Administrator,DEP-017,243.311.6609,119594.67,2019-12-17
EMP-672939,Jessica,Holloway,F,Medical Receptionist,DEP-001,056.277.2436x8668,37833.74,2025-04-26
EMP-675933,Karen,Berry,F,Billing Specialist,,+1-027-384-6853x0029,45618.98,2013-07-05
EMP-677266,Brian,Scott,M,Medical Receptionist,,001-372-633-8773x566,43440.21,2009-12-23
EMP-679444,Amber,Reed,F,Hospital Administrator,DEP-019,(972)919-1278x99251,150708.45,2012-04-29
EMP-680578,Patricia,Walton,NB,Medical Coder,DEP-015,001-191-816-2741x788,64617.48,2024-03-15
EMP-681414,John,Sullivan,M,Medical Receptionist,DEP-014,(582)376-7089,32532.49,2017-05-22
EMP-682461,Diana,Merritt,F,Compliance Officer,DEP-011,5065589083,77319.58,2011-12-25
EMP-684576,Kimberly,Walker,F,Supply Chain Coordinator,DEP-004,001-457-410-1639x043,46402.86,2012-09-08
EMP-684630,Martha,Simmons,F,Medical Receptionist,DEP-007,(808)902-7677x464,42318.85,2017-11-19
EMP-684657,Elizabeth,Walker,F,HR Coordinator,DEP-011,+1-538-208-2981,61634.34,2007-12-27
EMP-686447,Shane,Smith,M,IT Analyst,DEP-007,(803)907-3887,82911.61,2018-11-08
EMP-687985,Andrea,Rojas,F,HR Coordinator,,+1-639-728-9985x9976,61903.98,2024-05-27
EMP-688033,Bradley,Mitchell,M,Patient Services Coordinator,DEP-019,944-757-5760x07503,38007.78,2014-11-20
EMP-688378,Scott,Lindsey,M,Health Information Manager,DEP-018,713-139-5531x64304,87690.04,2021-08-12
EMP-690561,Selena,Thomas,F,Hospital Administrator,,+1-733-900-3564x3837,110202.17,2020-08-04
EMP-692750,Theresa,Young,F,Medical Receptionist,,(244)154-7574x250,34404.61,2017-08-03
EMP-701957,Richard,Hurst,M,Compliance Officer,,907.211.4490,80080.48,2025-02-09
EMP-704144,Bryan,Bowen,M,Medical Coder,,(112)711-3947x6651,46073.47,2006-06-17
EMP-704783,Bruce,Clark,M,Hospital Administrator,,681-091-9134,172789.04,2022-04-29
EMP-707733,Makayla,Flores,F,HR Coordinator,DEP-019,+1-344-815-2956,47469.51,2016-08-29
EMP-708912,Jeffrey,Martinez,M,Medical Receptionist,,590-842-4454,45076.63,2010-01-22
EMP-709441,Randy,Turner,M,Facilities Manager,DEP-010,(679)364-2782x35890,74593.73,2021-05-20
EMP-710611,David,Wagner,M,HR Coordinator,DEP-006,6773157797,46638.99,2014-09-10
EMP-711032,Nicholas,Taylor,M,HR Coordinator,,001-550-604-8084,54500.73,2014-06-03
EMP-711878,Billy,Johnson,NB,Health Information Manager,DEP-016,936-471-3733x7248,73869.89,2005-03-27
EMP-713342,Jonathan,Walker,M,Medical Coder,DEP-009,001-333-025-4772x098,61373.47,2021-06-06
EMP-715590,Taylor,Wilson,F,Medical Receptionist,DEP-015,+1-519-720-2589x7506,36857.42,2007-10-14
EMP-717200,Richard,Holder,M,Hospital Administrator,DEP-003,643-039-1301x86116,91163.35,2020-12-29
EMP-720714,Kendra,Stewart,F,HR Coordinator,,012.082.0885x2033,61103.38,2013-10-11
EMP-720997,Mandy,Harrell,F,Supply Chain Coordinator,DEP-007,001-481-564-6371,50429.45,2017-05-17
EMP-722364,Nathan,Park,M,Quality Assurance Analyst,DEP-004,+1-532-279-9222,66457.39,2021-04-09
EMP-722613,Kevin,Weaver,M,Quality Assurance Analyst,,(517)999-9248x035,77628.91,2006-06-14
EMP-730123,Oscar,Martinez,M,Medical Coder,,001-793-474-4396x795,46027.23,2025-06-26
EMP-730795,Emily,Ford,F,Patient Services Coordinator,DEP-016,486.834.2353,51005.4,2018-04-20
EMP-731973,Rhonda,Patterson,F,Facilities Manager,DEP-009,+1-661-385-1084x4306,51467.37,2026-04-14
EMP-733534,Christopher,Gillespie,M,Facilities Manager,,001-185-546-6049x909,77028.7,2014-06-13
EMP-733613,Nicole,Gibson,F,Compliance Officer,DEP-019,(224)686-5655,74787.34,2006-08-05
EMP-736047,Thomas,Williams,NB,Hospital Administrator,DEP-005,365.425.1024x805,119514.96,2013-05-29
EMP-736836,Michael,Bowman,M,Patient Services Coordinator,DEP-009,878-602-3813x071,44390.51,2015-12-19
EMP-737278,Leslie,Moody,F,Health Information Manager,,+1-686-337-7747x7441,86921.87,2014-01-25
EMP-739793,Brian,Carlson,M,Quality Assurance Analyst,,293.906.8869,68301.44,2020-01-29
EMP-739868,Jessica,Todd,F,Compliance Officer,,(869)052-7302,93880.06,2005-12-03
EMP-740105,Tiffany,Garcia,F,Facilities Manager,DEP-014,688-169-4299x8971,54522.43,2011-12-24
EMP-740427,Bradley,Richardson,M,Supply Chain Coordinator,,7794175932,59341.32,2011-10-16
EMP-745104,Keith,Barnes,M,Compliance Officer,DEP-009,193.957.5837x47260,107979.52,2005-12-02
EMP-745305,Benjamin,Williams,M,HR Coordinator,,446-784-0596x15735,45498.85,2020-06-08
EMP-746319,Erik,White,M,Patient Services Coordinator,,+1-608-311-8674x0020,46414.47,2018-07-25
EMP-748133,Donna,Brady,F,Supply Chain Coordinator,DEP-013,529.306.2876x65338,58801.43,2024-05-14
EMP-748576,Elizabeth,Travis,F,Facilities Manager,,1003240234,78682.25,2023-04-09
EMP-749479,Laurie,Schmidt,F,Medical Coder,DEP-010,001-706-517-0679,63505.75,2007-06-02
EMP-756370,Robert,Martin,M,HR Coordinator,DEP-004,+1-161-865-0148,54583.84,2019-08-26
EMP-758546,Jessica,Morrow,F,Health Information Manager,DEP-005,7396504628,85448.22,2010-10-27
EMP-760324,Brandon,Taylor,M,HR Coordinator,DEP-008,336.246.3753x74228,54780.96,2008-07-30
EMP-760650,Ronnie,Wu,M,Billing Specialist,DEP-009,3044929275,49039.51,2007-01-19
EMP-761705,James,Carter,M,Facilities Manager,DEP-005,(340)756-4983,77389.24,2022-11-05
EMP-762390,Jacob,Wilson,M,Patient Services Coordinator,DEP-001,+1-381-954-8232x8856,46039.92,2016-02-07
EMP-763983,Paige,Haynes,F,Quality Assurance Analyst,DEP-015,(755)895-5779,70831.42,2020-07-14
EMP-766337,Jane,Joseph,NB,Compliance Officer,DEP-016,036-718-4831x16260,79993.85,2018-08-11
EMP-767867,Kristin,Holmes,F,Hospital Administrator,DEP-003,(332)465-6294x82498,119145.27,2010-01-16
EMP-770523,Lindsey,Flynn,F,Health Information Manager,DEP-001,(312)299-0542x33841,70003.41,2005-10-07
EMP-774532,Jasmine,Chavez,F,HR Coordinator,DEP-009,(074)444-4637,63864.01,2018-06-28
EMP-775958,Michael,Weaver,M,Compliance Officer,,389.248.3611x7974,78269.48,2019-05-14
EMP-778237,Arthur,Boyd,M,Quality Assurance Analyst,,292-070-4140x37973,66108.88,2021-08-31
EMP-783179,David,Bates,M,Compliance Officer,DEP-006,+1-226-551-3697x4888,90293.15,2023-04-08
EMP-783677,Mark,Matthews,M,Supply Chain Coordinator,DEP-015,244-570-5853x01579,56877.18,2020-10-12
EMP-784444,Joseph,Landry,M,Facilities Manager,DEP-006,815.759.8110,75341.6,2024-03-19
EMP-785404,Leah,Kennedy,F,Health Information Manager,,170-031-3564x1674,65324.59,2016-08-19
EMP-786109,Kim,Stafford,F,Compliance Officer,DEP-012,084.053.2432x397,95883.54,2014-11-16
EMP-786397,Cathy,Fleming,F,Supply Chain Coordinator,DEP-004,001-599-522-4117x327,59390.64,2007-08-21
EMP-787954,Elizabeth,Brown,F,Hospital Administrator,DEP-017,329-248-2338x189,107861.59,2017-09-27
EMP-789395,Brandon,Hoover,M,Facilities Manager,,(963)178-9148,79554.56,2022-12-09
EMP-789560,Linda,Sullivan,F,Compliance Officer,,221-477-1143x826,83217.18,2009-01-28
EMP-792516,Jeffrey,Jimenez,NB,Supply Chain Coordinator,,001-553-469-0483,60242.65,2016-04-16
EMP-794069,Mary,Randall,F,Billing Specialist,DEP-003,6018659357,41928.52,2007-08-12
EMP-798147,Kelly,Zhang,F,Facilities Manager,,001-525-517-6418x208,64103.63,2013-09-17
EMP-801652,Ryan,Martinez,M,Health Information Manager,DEP-015,+1-808-181-5355x236,73576.64,2018-07-13
EMP-803746,Lisa,Tran,F,Medical Coder,DEP-003,788.615.5818x0708,49964.6,2021-06-08
EMP-803999,Jason,Weaver,M,Billing Specialist,DEP-003,334-935-0945,44265.88,2025-03-24
EMP-808956,Austin,Marks,M,Medical Coder,DEP-013,001-481-193-2673x526,60481.66,2005-04-11
EMP-809310,Andrew,Mitchell,M,Medical Coder,,976.235.9108,42309.29,2023-02-06
EMP-809475,William,Mckenzie,M,Quality Assurance Analyst,,(283)264-6519,58659.35,2020-10-17
EMP-810651,Carl,Smith,M,Health Information Manager,DEP-011,(937)478-0929x607,99454.07,2013-09-30
EMP-812383,Elizabeth,Russell,F,HR Coordinator,DEP-001,068.215.2980x912,65999.43,2023-12-21
EMP-815789,Brian,Rowe,M,Compliance Officer,,4604378561,81617.67,2025-04-14
EMP-817357,Paul,Romero,M,IT Analyst,,322-395-3315,88613.55,2016-01-04
EMP-818314,David,Padilla,M,Quality Assurance Analyst,DEP-019,001-830-657-3151x391,55806.89,2024-11-11
EMP-818999,Steven,Morgan,M,Medical Receptionist,DEP-010,445-640-9500x4005,44840.82,2009-09-19
EMP-819472,Richard,Krause,M,Health Information Manager,,(633)413-7818x124,90083.54,2011-08-12
EMP-820304,Colleen,Perez,F,IT Analyst,DEP-009,560.538.3936,57209.12,2013-03-13
EMP-820921,Loretta,Bailey,F,Patient Services Coordinator,DEP-019,(595)162-7908,43618.5,2020-05-24
EMP-823644,Erin,Mays,F,Supply Chain Coordinator,,531-594-2127x1294,55307.05,2019-05-15
EMP-824730,Nancy,Medina,F,Medical Receptionist,,649-908-1840x01184,35970.35,2008-10-12
EMP-825034,Juan,Todd,M,IT Analyst,,480-987-4271x3800,55497.39,2008-06-05
EMP-829890,Christina,Johnson,F,Patient Services Coordinator,DEP-009,589-674-7896x7753,35331.15,2020-10-18
EMP-834932,Katherine,Thomas,F,Compliance Officer,DEP-006,001-140-508-7737x476,84602.72,2025-09-30
EMP-835216,Marie,Garcia,F,IT Analyst,DEP-009,001-080-433-5424x757,74888.09,2018-05-02
EMP-835331,Tommy,Hunt,M,Health Information Manager,DEP-003,001-903-165-6519,76890.21,2021-11-11
EMP-835378,Autumn,Blair,F,HR Coordinator,DEP-017,+1-582-193-1433x7449,46507.16,2016-06-28
EMP-836319,Steven,Patton,M,HR Coordinator,DEP-019,4938402653,49907.18,2009-12-02
EMP-840089,Richard,Orozco,M,Compliance Officer,,767-558-3418x148,107453.34,2024-03-26
EMP-842954,Samantha,Mueller,F,Facilities Manager,DEP-014,+1-598-297-3868x1548,55666.25,2005-08-26
EMP-843170,Sarah,Johnson,NB,Supply Chain Coordinator,DEP-014,001-039-729-8687,55384.82,2022-02-27
EMP-844910,Alexander,Davis,M,Medical Coder,DEP-003,006.891.1551x524,46076.42,2018-12-31
EMP-845759,Richard,Coleman,M,Facilities Manager,DEP-016,+1-056-248-3319x021,50715.02,2007-05-05
EMP-846505,Vincent,Jones,M,Supply Chain Coordinator,DEP-015,6725719214,55363.15,2017-05-13
EMP-848995,Carlos,Williams,NB,Billing Specialist,DEP-019,280-214-5262x7527,44876.58,2012-08-15
EMP-851464,Victoria,Thomas,F,Facilities Manager,,(494)703-1301x4709,68481.47,2015-02-01
EMP-852414,Samantha,Mccann,NB,Health Information Manager,DEP-010,509-934-2705x012,68545.44,2021-03-12
EMP-854801,Benjamin,Davidson,M,Quality Assurance Analyst,DEP-018,4113277806,75916.18,2011-11-01
EMP-861429,Stephanie,Morgan,F,Patient Services Coordinator,DEP-008,3802231127,36198.91,2007-07-27
EMP-861728,Kevin,Thomas,M,IT Analyst,DEP-006,+1-266-729-7353x510,71120.57,2019-10-10
EMP-861920,Randy,Medina,M,Medical Coder,,001-837-466-1821x026,56152.38,2014-10-29
EMP-862940,Jeffery,Adams,M,Medical Coder,,001-882-811-3137x522,47021.02,2007-06-26
EMP-863399,Brian,Nguyen,M,HR Coordinator,,001-332-737-0801,61345.43,2020-01-13
EMP-864148,Mary,Moore,F,IT Analyst,,294.826.9581x43357,69202.73,2024-10-26
EMP-869971,Charles,Parker,M,Supply Chain Coordinator,,+1-903-834-5600,53708.57,2020-09-30
EMP-870381,Ariana,Griffith,F,Quality Assurance Analyst,DEP-009,001-463-547-4649x308,67276.1,2005-03-25
EMP-877347,Kelsey,Burch,F,Quality Assurance Analyst,DEP-007,(730)004-9961x81237,78056.48,2021-04-05
EMP-878134,Debbie,Lewis,F,Medical Receptionist,DEP-011,001-065-728-8868,42642.2,2016-01-14
EMP-879365,Craig,Holland,M,Health Information Manager,,775-542-0221x1093,72904.14,2019-07-14
EMP-882272,Nicholas,Patterson,M,IT Analyst,DEP-004,772-288-0875x044,61548.9,2013-01-11
EMP-884882,Justin,Hernandez,M,Hospital Administrator,DEP-014,(642)060-3700x168,120376.6,2011-02-14
EMP-885379,Sara,Kline,F,Facilities Manager,DEP-013,204-213-6821,74147.42,2013-07-21
EMP-885992,Jessica,Adams,F,Patient Services Coordinator,DEP-008,(097)864-7414x1128,48524.47,2017-12-26
EMP-889744,Jason,Mccall,M,Facilities Manager,DEP-013,(436)969-7408,58342.6,2025-03-18
EMP-891865,Sarah,Whitehead,F,Supply Chain Coordinator,DEP-011,528-544-6228x1004,63481.43,2016-12-25
EMP-892473,Jennifer,Lopez,F,HR Coordinator,DEP-005,(648)654-1470x32444,63038.69,2011-09-24
EMP-892627,Yvonne,Ballard,F,HR Coordinator,,179-880-9397,60621.57,2008-09-27
EMP-892788,Sharon,Carter,F,Supply Chain Coordinator,,+1-403-018-4166x3517,59232.65,2015-08-02
EMP-898131,Mary,Rivas,F,Quality Assurance Analyst,DEP-002,001-394-481-6171x120,75880.05,2015-01-28
EMP-898721,Amy,Simmons,F,IT Analyst,DEP-002,001-440-880-9049x489,86873.17,2007-03-20
EMP-900608,Aimee,Ortiz,F,Quality Assurance Analyst,,+1-287-591-9460,70757.11,2008-12-07
EMP-902129,Patrick,Pierce,M,IT Analyst,DEP-017,(570)656-0476x793,69204.56,2018-11-15
EMP-902669,Sandra,Morgan,F,Compliance Officer,DEP-013,860.870.0781,88942.88,2010-06-19
EMP-905344,Ryan,Reynolds,M,Health Information Manager,DEP-014,479.851.8541,74617.54,2020-06-14
EMP-908606,Hannah,Bennett,F,Facilities Manager,DEP-008,537-236-0705x491,72895.19,2025-03-16
EMP-912322,Wanda,Serrano,F,IT Analyst,DEP-009,8670645063,74483.61,2023-05-02
EMP-912409,Michelle,Smith,F,Compliance Officer,DEP-012,+1-691-452-9650,85977.18,2025-10-20
EMP-912509,Jeffrey,Bryant,M,HR Coordinator,,171-863-5270x1616,57955.64,2005-10-20
EMP-913318,Carlos,Hill,M,Patient Services Coordinator,,+1-450-347-8355x071,36607.73,2021-04-20
EMP-914128,James,Greer,NB,IT Analyst,,(963)451-5856,70302.24,2005-09-20
EMP-915469,Heather,Nicholson,F,Supply Chain Coordinator,,001-499-673-6411,66840.15,2019-10-16
EMP-915720,Stephen,Moore,M,Supply Chain Coordinator,DEP-013,(457)430-1972x86778,66305.22,2008-04-09
EMP-919472,Sean,King,M,Medical Receptionist,DEP-013,3923269898,32000.39,2019-01-20
EMP-922079,Tyler,Tucker,M,IT Analyst,DEP-018,929-511-9222,84111.95,2022-08-03
EMP-922964,Renee,Anderson,F,Medical Coder,DEP-014,+1-616-935-9512x3975,63746.25,2012-04-16
EMP-923443,Maria,Young,F,IT Analyst,DEP-019,(575)698-7866x7860,60341.17,2022-05-04
EMP-928336,David,Mckinney,M,Facilities Manager,,389.647.4664x3611,62512.69,2010-11-01
EMP-928765,Megan,Woods,F,Patient Services Coordinator,,+1-275-914-7750x2559,41025.01,2026-06-01
EMP-928851,Thomas,Gonzalez,M,Patient Services Coordinator,DEP-008,+1-935-806-0411,48240.9,2024-05-16
EMP-929043,Daniel,Wright,M,Health Information Manager,DEP-012,461.452.1806x9655,67696.42,2020-07-19
EMP-930639,Richard,Becker,M,Billing Specialist,DEP-010,6172149554,49128.79,2016-01-04
EMP-931245,Tamara,Wilson,F,Health Information Manager,DEP-010,081.366.9497,86545.35,2017-02-03
EMP-932235,Eric,Evans,M,Hospital Administrator,,927.549.7137x75267,172202.16,2025-08-10
EMP-933055,Jessica,Hardy,F,Patient Services Coordinator,DEP-009,(649)999-4341x3784,41849.95,2019-10-27
EMP-933713,Cynthia,Garcia,F,Health Information Manager,DEP-016,+1-980-079-7295x1977,86191.02,2009-03-05
EMP-937481,Crystal,Klein,NB,HR Coordinator,DEP-014,001-185-296-1711,55541.85,2019-04-24
EMP-937723,Christina,Butler,F,Hospital Administrator,,001-089-814-3890x682,153109.25,2019-08-04
EMP-938106,Jeremy,Hunt,M,Health Information Manager,DEP-005,1150821746,96821.47,2007-03-07
EMP-938345,Julie,Castaneda,F,Health Information Manager,DEP-020,+1-797-283-3681x5204,79764.03,2013-10-31
EMP-940474,Shelby,Moses,F,Compliance Officer,,978.493.5909,101871.89,2013-03-01
EMP-942849,Lisa,Holmes,F,IT Analyst,DEP-005,395.941.9428x449,76327.37,2021-03-27
EMP-947103,Rebecca,Vang,F,Facilities Manager,DEP-019,789-633-0651x91939,66900.94,2024-04-10
EMP-952757,David,Perez,M,Compliance Officer,,393.606.5406x79491,89622.49,2010-08-11
EMP-954983,Amanda,Medina,F,Supply Chain Coordinator,DEP-015,256.924.9389x0431,58705.14,2022-02-19
EMP-955354,Darrell,Phillips,M,Medical Receptionist,DEP-018,+1-608-293-7570x2483,43961.85,2022-11-24
EMP-955543,John,Martin,M,Patient Services Coordinator,,880-159-4731,51173.66,2005-02-01
EMP-955986,Helen,Romero,F,Billing Specialist,DEP-014,702-978-2132,39599.03,2022-02-23
EMP-956652,Marie,Yates,F,Medical Coder,DEP-020,001-740-624-8176x707,50242.98,2012-02-09
EMP-957392,Katrina,Bradford,F,Medical Coder,DEP-020,496-832-3786x3689,54379.4,2023-01-22
EMP-959531,Matthew,Newman,M,Health Information Manager,,098.539.3098x0947,95736.18,2017-11-27
EMP-961857,Michael,Best,M,Compliance Officer,,(869)966-6242x4590,94297.98,2024-04-09
EMP-963029,Kevin,Meyer,M,Hospital Administrator,,034.884.0056x281,157288.53,2005-07-09
EMP-963880,Elizabeth,Bass,F,Health Information Manager,,701.168.3349x9880,65119.73,2006-04-24
EMP-964170,Marie,Rivera,F,HR Coordinator,DEP-008,+1-959-369-8441x969,58699.68,2019-12-22
EMP-965194,Cody,Wilson,M,HR Coordinator,,648.493.6632,68113.76,2008-07-09
EMP-968328,Bobby,Johnson,M,HR Coordinator,,+1-986-119-3036x5695,68700.34,2005-07-28
EMP-968450,Brett,Drake,M,Health Information Manager,,(069)099-1270x73381,76288.63,2017-10-31
EMP-971415,Bailey,Gregory,F,Medical Coder,DEP-004,+1-174-784-1124x4536,54230.54,2022-11-30
EMP-971497,Robert,Collins,M,Facilities Manager,DEP-009,072.859.9776x413,68657.41,2005-08-22
EMP-972540,Brian,Smith,M,Hospital Administrator,DEP-006,239-016-3790,119577.55,2015-11-04
EMP-974178,Austin,Robinson,M,Billing Specialist,DEP-014,+1-198-968-8872x383,55341.25,2015-07-19
EMP-974505,Donna,Woods,F,Hospital Administrator,DEP-012,440-730-2235x34978,146090.85,2012-01-29
EMP-976362,John,Campbell,M,Compliance Officer,DEP-003,384-528-9187,82735.92,2022-04-21
EMP-981093,Tiffany,Rodriguez,F,Supply Chain Coordinator,DEP-016,(374)210-7975x96345,56606.78,2017-01-16
EMP-982035,George,Jones,M,Quality Assurance Analyst,,(425)208-1752x59409,74986.68,2012-02-24
EMP-982852,Tyler,Gonzalez,M,Medical Receptionist,,708-398-7203x69924,45961.68,2018-07-14
EMP-983570,Kathleen,Davis,F,Medical Receptionist,DEP-003,756.284.3486,32406.2,2012-07-24
EMP-985560,David,Ray,M,Billing Specialist,DEP-003,489-454-2129x11117,39715.0,2005-03-13
EMP-989178,Colleen,Tanner,F,Billing Specialist,DEP-012,2149671950,48789.14,2020-07-23
EMP-989443,Mark,Young,NB,Compliance Officer,,937-000-4396,73564.23,2026-03-22
EMP-989920,Bradley,Miller,M,Quality Assurance Analyst,DEP-009,628.676.4500x811,68971.45,2024-12-12
EMP-993317,Joseph,Jimenez,M,HR Coordinator,DEP-015,805-262-5224x64452,61581.2,2019-12-26
EMP-996203,Jodi,Wallace,F,Medical Coder,DEP-001,276.421.1322x57884,53443.77,2011-11-13
EMP-997874,Patrick,Salazar,M,HR Coordinator,DEP-016,(279)930-9701x4504,62800.59,2023-12-08
EMP-999823,Cody,Spencer,M,HR Coordinator,DEP-007,001-146-464-3181x567,64274.59,2018-03-29
